movieId,title,release_year,genres,synopsis,director,main_actors,country
1,100 Girls,2000,"Comedy, Drama, Romance","Matthew, a college freshman, meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the morning, the power is restored, but the dream girl has vanished. All Matthew knows is that she lives in an all-girls dorm. He sets out on a semester-long journey to find his mystery girl among a hundred female suspects. Could it be Wendy Dora Arlene Patty Cynthia Or the 95 other girls, any of whom could have been in that elevator with Matthew.",Michael Davis,"Jonathan Tucker,Emmanuelle Chriqui,James DeBello",United States of America
2,Ariel,1988,"Comedy, Drama, Romance, Crime",A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.,Aki Kaurismaki,"Turo Pajala,Susanna Haavisto,Matti Pellonpaa",Finland
3,Shadows in Paradise,1986,"Comedy, Drama, Romance","Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.",Aki Kaurismaki,"Matti Pellonpaa,Kati Outinen,Sakari Kuosmanen",Finland
4,Four Rooms,1995,"Comedy, Crime",Its Ted the Bellhops first night on the job...and the hotels very unusual guests are about to place him in some outrageous predicaments. It seems that this evenings room service is serving up one unbelievable happening after another.,Robert Rodriguez,"Tim Roth,Jennifer Beals,Antonio Banderas",United States of America
5,Judgment Night,1993,"Action, Crime, Thriller","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",Stephen Hopkins,"Emilio Estevez,Cuba Gooding Jr.,Denis Leary",United States of America
6,Life in Loops A Megacities RMX,2006,Documentary,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities 1997, a visually refined essay on the hidden faces of several world megacities by leading Austrian documentarist Michael Glawogger. Novotny complements 30  of material taken straight from the film and re-edited with 70  as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences shot by Megacities cameraman Wolfgang Thaler from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",Timo Novotny,,Austria
7,Star Wars,1977,"Adventure, Action, Science Fiction",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,George Lucas,,United States of America
8,Finding Nemo,2003,"Animation, Family","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentists office aquarium. Its up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Andrew Stanton,"Albert Brooks,Ellen DeGeneres,Alexander Gould",United States of America
9,Forrest Gump,1994,"Comedy, Drama, Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic eventsin each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise",United States of America
10,American Beauty,1999,Drama,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughters attractive friend.",Sam Mendes,"Kevin Spacey,Annette Bening,Thora Birch",United States of America
11,Citizen Kane,1941,"Mystery, Drama","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",Orson Welles,"Orson Welles,Joseph Cotten,Dorothy Comingore",United States of America
12,Dancer in the Dark,2000,"Drama, Crime","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping lifes troubles  even if just for a moment  by dreaming up little numbers to the rhythmic beats of her surroundings.",Lars von Trier,"Bjork,Catherine Deneuve,David Morse",Denmark
13,The Dark,2005,"Horror, Thriller, Mystery","In an attempt to pull her family together, Adelle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead   and that Sarah has been taken to the Welsh underworld.",John Fawcett,"Maria Bello,Sean Bean,Abigail Stone",Germany
14,The Fifth Element,1997,"Science Fiction, Action, Adventure","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",Luc Besson,"Bruce Willis,Milla Jovovich,Gary Oldman",France
15,Metropolis,1927,"Drama, Science Fiction","In a futuristic city sharply divided between the rich and the poor, the son of the citys mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"Gustav Frohlich,Brigitte Helm,Alfred Abel",Germany
16,My Life Without Me,2003,"Drama, Romance",A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,Isabel Coixet,"Sarah Polley,Amanda Plummer,Scott Speedman",Canada
17,The Endless Summer,1966,Documentary,"Bruce Browns The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during Californias winter which, back in 1965 was off-season for surfing in search of the perfect wave and ultimately, an endless summer.",Bruce Brown,"Michael Hynson,Robert August,Lord James Blears",United States of America
18,Pirates of the Caribbean The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action","After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governors daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crews shipThe Black Pearlso that he can rescue the woman he loves.",Gore Verbinski,"Johnny Depp,Orlando Bloom,Keira Knightley",United States of America
19,Kill Bill Vol. 1,2003,"Action, Crime","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle  but she lives to plot her vengeance.",Quentin Tarantino,"Uma Thurman,Lucy Liu,Vivica A. Fox",United States of America
20,Jarhead,2005,"Drama, War","Jarhead is a film about a US Marine Anthony Swoffords experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",Sam Mendes,"Jake Gyllenhaal,Jamie Foxx,Peter Sarsgaard",United Kingdom
21,Walk on Water,2004,Drama,"Eyal, an Israeli Mossad agent, is given the mission to track down and kill the very old Alfred Himmelman, an ex-Nazi officer, who might still be alive. Pretending to be a tourist guide, he befriends his grandson Axel, in Israel to visit his sister Pia. The two men set out on a tour of the country, during which Axel challenges Eyals values.",Eytan Fox,"Lior Ashkenazi,Knut Berger,Caroline Peters",Israel
22,9 Songs,2004,"Drama, Music, Romance","Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - Londons Brixton Academy. They are in bed at nights end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",Michael Winterbottom,"Kieran OBrien,Margo Stilley,Courtney Taylor-Taylor",United Kingdom
23,Apocalypse Now,1979,"Drama, War","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, does not exist, nor will it ever exist. His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Francis Ford Coppola,"Martin Sheen,Marlon Brando,Albert Hall",United States of America
24,Unforgiven,1992,Western,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Clint Eastwood,"Clint Eastwood,Gene Hackman,Morgan Freeman",United States of America
25,The Simpsons Movie,2007,"Animation, Comedy, Family","After Homer accidentally pollutes the towns water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",David Silverman,"Dan Castellaneta,Julie Kavner,Nancy Cartwright",United States of America
26,Eternal Sunshine of the Spotless Mind,2004,"Science Fiction, Drama, Romance","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Michel Gondry,"Jim Carrey,Kate Winslet,Kirsten Dunst",United States of America
27,Amores Perros,2000,"Drama, Thriller","A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",Alejandro Gonzalez Inarritu,"Emilio Echevarria,Gael Garcia Bernal,Vanessa Bauche",Mexico
28,Pirates of the Caribbean Dead Mans Chest,2006,"Adventure, Fantasy, Action","Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones service, as other friends and foes seek the heart for their own agenda as well.",Gore Verbinski,"Johnny Depp,Orlando Bloom,Keira Knightley",United States of America
29,A History of Violence,2005,"Drama, Thriller, Crime",An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,David Cronenberg,"Viggo Mortensen,Maria Bello,Ed Harris",Canada
30,2001 A Space Odyssey,1968,"Science Fiction, Mystery, Adventure","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the worlds most advanced super computer.",Stanley Kubrick,"Keir Dullea,Gary Lockwood,William Sylvester",United Kingdom
31,Twelve Monkeys,1995,"Science Fiction, Thriller, Mystery","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earths population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, hes arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys thought to be responsible for unleashing the killer disease.",Terry Gilliam,"Bruce Willis,Madeleine Stowe,Brad Pitt",United States of America
32,Talk to Her,2002,"Drama, Romance",Two men share an odd friendship while they care for two women who are both in deep comas.,Pedro Almodovar,"Leonor Watling,Rosario Flores,Javier Camara",Spain
33,8 Mile,2002,"Drama, Music","For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroits vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment is another chance.",Curtis Hanson,"Eminem,Kim Basinger,Mekhi Phifer",Germany
34,Absolute Power,1997,"Crime, Drama, Action","A master thief coincidentally is robbing a house where a murderin which the President of the United States is involvedoccurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",Clint Eastwood,"Clint Eastwood,Gene Hackman,Ed Harris",United States of America
35,Paradise Now,2005,"Crime, Thriller, Drama, War",Two childhood friends are recruited for a suicide bombing in Tel Aviv.,Hany Abu-Assad,"Qais Nashif,Ali Suliman,Lubna Azabal",France
36,Brazil,1985,"Comedy, Science Fiction","Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",Terry Gilliam,"Jonathan Pryce,Robert De Niro,Katherine Helmond",United Kingdom
37,Walk the Line,2005,"Drama, Music, Romance","A chronicle of country music legend Johnny Cashs life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",James Mangold,"Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin",Germany
38,Million Dollar Baby,2004,Drama,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isnt prepared for boxer Maggie Fitzgerald to enter his life. But Maggies determined to go pro and to convince Dunn and his cohort to help her.",Clint Eastwood,"Clint Eastwood,Hilary Swank,Morgan Freeman",Switzerland
39,Billy Elliot,2000,"Drama, Comedy, Music","County Durham, England, 1984. The miners strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that hes naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",Stephen Daldry,"Jamie Bell,Gary Lewis,Julie Walters",France
40,American History X,1998,Drama,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyards narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",Tony Kaye,"Edward Norton,Edward Furlong,Beverly DAngelo",United States of America
41,War of the Worlds,2005,"Adventure, Thriller, Science Fiction","Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",Steven Spielberg,"Tom Cruise,Dakota Fanning,Justin Chatwin",United States of America
42,Mars Attacks,1996,"Comedy, Fantasy, Science Fiction","A fleet of Martian spacecraft surrounds the worlds major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, come in peace. U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",Tim Burton,"Jack Nicholson,Glenn Close,Annette Bening",United States of America
43,Before Sunrise,1995,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"Ethan Hawke,Julie Delpy,Andrea Eckert",Austria
44,Memento,2000,"Mystery, Thriller","Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wifes killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where hes going, or why.",Christopher Nolan,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",United States of America
45,Blade Runner,1982,"Science Fiction, Drama, Thriller","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Ridley Scott,"Harrison Ford,Rutger Hauer,Sean Young",United States of America
46,Hero,2002,"Drama, Adventure, Action, History","During Chinas Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the kings life three years ago.",Zhang Yimou,"Jet Li,Tony Leung,Maggie Cheung Man-Yuk",Hong Kong
47,Before Sunset,2004,"Drama, Romance","Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",Richard Linklater,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff",United States of America
48,Nausicaa of the Valley of the Wind,1984,"Adventure, Animation, Fantasy","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",Hayao Miyazaki,"Sumi Shimamoto,Ichiro Nagai,Goro Naya",Japan
49,Miami Vice,2006,"Action, Crime, Thriller","A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",Michael Mann,"Jamie Foxx,Colin Farrell,Gong Li",Germany
50,Open Water,2003,"Drama, Thriller, Horror","Two divers are left out at sea without a boat. Theres nothing but water for miles, unless they look at whats underneath them...",Chris Kentis,"Blanchard Ryan,Daniel Travis,Saul Stein",United States of America
51,Raiders of the Lost Ark,1981,"Adventure, Action","When Dr. Indiana Jones  the tweed-suited professor who just happens to be a celebrated archaeologist  is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",Steven Spielberg,"Harrison Ford,Karen Allen,Paul Freeman",United States of America
52,The Elementary Particles,2006,"Drama, Romance","Based on Michel Houellebecqs controversial novel, Atomised aka The Elementary Particles focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Brunos life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.",Oskar Roehler,"Christian Ulmen,Moritz Bleibtreu,Martina Gedeck",Germany
53,Indiana Jones and the Temple of Doom,1984,"Adventure, Action","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees  and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",Steven Spielberg,"Harrison Ford,Kate Capshaw,Ke Huy Quan",United States of America
54,Dirty Dancing,1987,"Drama, Music, Romance","Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances Baby Houseman is surprised to find herself stepping into the shoes of a professional hooferand unexpectedly falling in love.",Emile Ardolino,"Jennifer Grey,Patrick Swayze,Jerry Orbach",United States of America
55,Indiana Jones and the Last Crusade,1989,"Adventure, Action","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old mans notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world",Steven Spielberg,"Harrison Ford,Sean Connery,Denholm Elliott",United States of America
56,Beverly Hills Cop,1984,"Comedy, Crime, Action","Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.",Martin Brest,"Eddie Murphy,Judge Reinhold,John Ashton",United States of America
57,Land Without Bread,1933,Documentary,"An exploration manipulated and staged of life in Las Hurdes, in the province of Caceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. Silent short, voiced in 1937 and 1996.",Luis Bunuel,"Abel Jacquin,Francisco Rabal,Alexandre ONeill",France
58,Megacities,1998,Documentary,Megacities is a documentary about the slums of five different metropolitan cities.,Michael Glawogger,Shankar Loutakke,Austria
59,Anatomy of a Murder,1959,"Crime, Drama, Mystery","Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victims mysterious business partner, whos hiding a dark secret.",Otto Preminger,"James Stewart,Lee Remick,Ben Gazzara",United States of America
60,Kunstgriff,2002,Comedy,Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.,Andre F. Nebe,"Ursula Buschhorn,Hans-Werner Meyer",Germany
61,Armageddon,1998,"Action, Thriller, Science Fiction, Adventure","When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isnt good enough for his daughter, until the mission proves otherwise.",Michael Bay,"Bruce Willis,Billy Bob Thornton,Ben Affleck",United States of America
62,Beverly Hills Cop II,1987,"Action, Comedy, Crime","Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of alphabet robberies masterminded by a heartless weapons kingpinand the chase is on.",Tony Scott,"Eddie Murphy,Judge Reinhold,John Ashton",United States of America
63,Tron,1982,"Science Fiction, Action, Adventure","When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...And becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",Steven Lisberger,"Jeff Bridges,Bruce Boxleitner,David Warner",United States of America
64,Gladiator,2000,"Action, Drama, Adventure","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Romes most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",United Kingdom
65,All About My Mother,1999,"Comedy, Drama","Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",Pedro Almodovar,"Cecilia Roth,Marisa Paredes,Candela Pena",Spain
66,"Lock, Stock and Two Smoking Barrels",1998,"Comedy, Crime",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,Guy Ritchie,"Vinnie Jones,Jason Flemyng,Dexter Fletcher",United Kingdom
67,Leon The Professional,1994,"Crime, Drama, Action","Leon, the top hit man in New York, has earned a rep as an effective cleaner. But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathildas thoughts turn to revenge, and she considers following in Leons footsteps.",Luc Besson,"Jean Reno,Natalie Portman,Gary Oldman",France
68,Open Hearts,2002,"Drama, Romance","Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family dont get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.",Susanne Bier,"Sonja Richter,Nikolaj Lie Kaas,Mads Mikkelsen",Denmark
69,Taxi Driver,1976,"Crime, Drama",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,Martin Scorsese,"Robert De Niro,Jodie Foster,Cybill Shepherd",United States of America
70,Run Lola Run,1998,"Action, Drama, Thriller","Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lolas run.",Tom Tykwer,"Franka Potente,Moritz Bleibtreu,Herbert Knaup",Germany
71,Back to the Future,1985,"Adventure, Comedy, Science Fiction","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents first meeting and attracting his mothers romantic interest. Marty must repair the damage to history by rekindling his parents romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Crispin Glover",United States of America
72,Predator,1987,"Science Fiction, Action, Adventure, Thriller",A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,John McTiernan,"Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall",United States of America
73,Snatch,2000,"Crime, Comedy","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Brad Pitt,Jason Statham,Alan Ford",United Kingdom
74,Three Colors Blue,1993,Drama,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husbands mistress, whose existence she never suspected.",Krzysztof Kieslowski,"Juliette Binoche,Benoit Regent,Florence Pernel",France
75,Three Colors White,1994,"Comedy, Drama, Mystery","Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikoaj to smuggle him back to their homeland.",Krzysztof Kieslowski,"Zbigniew Zamachowski,Julie Delpy,Janusz Gajos",France
76,Three Colors Red,1994,"Drama, Mystery, Romance","Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors phone calls.",Krzysztof Kieslowski,"Irene Jacob,Jean-Louis Trintignant,Frederique Feder",France
77,Scarface,1983,"Action, Crime, Drama","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Brian De Palma,"Al Pacino,Steven Bauer,Michelle Pfeiffer",United States of America
78,Italian for Beginners,2000,"Comedy, Drama, Romance","Several lonely hearts in a semi-provincial suburb of a town in Denmark use a beginners course in Italian as the platform to meet the romance of their lives. The film, which unspools the connections and family drama shared between the students, complies with several aesthetic principles of Dogme 95 movement.",Lone Scherfig,"Peter Gantzler,Ann Eleonora Jrgensen,Anders W. Berthelsen",Denmark
79,"Spring, Summer, Fall, Winter... and Spring",2003,Drama,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",Kim Ki-duk,"Oh Young-soo,Kim Ki-duk,Kim Young-min",South Korea
80,Pretty Woman,1990,"Romance, Comedy","While on a business trip in Los Angeles, Edward Lewis, a millionaire entrepreneur who makes a living buying and breaking up companies, picks up a prostitute, Vivian, while asking for directions after, Edward hires Vivian to stay with him for the weekend to accompany him to a few social events, and the two get closer only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.",Garry Marshall,"Richard Gere,Julia Roberts,Jason Alexander",United States of America
81,The Big Lebowski,1998,"Comedy, Crime","Jeffrey The Dude Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",Joel Coen,"Jeff Bridges,John Goodman,Julianne Moore",United Kingdom
82,Match Point,2005,"Drama, Thriller, Crime, Romance","Chris, a former tennis player, looks for work as an instructor. He meets Tom Hewett, a wealthy young man whose sister Chloe falls in love with Chris. But Chris has his eye on Toms fiancee Nola.",Woody Allen,"Jonathan Rhys Meyers,Scarlett Johansson,Emily Mortimer",United Kingdom
83,The Untouchables,1987,"Crime, History, Thriller","Elliot Ness, an ambitious prohibition agent, is determined to take down Al Capone. In order to achieve this goal, he forms a group given the nickname The Untouchables.",Brian De Palma,"Kevin Costner,Sean Connery,Robert De Niro",United States of America
84,Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the worlds most unusual candy maker.",Tim Burton,"Johnny Depp,Freddie Highmore,David Kelly",United Kingdom
