movieId,title,release_year,genres,synopsis,director,main_actors,country
1021,Resident Evil Apocalypse,2004,"Horror, Action, Science Fiction","As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.",Alexander Witt,"Milla Jovovich,Sienna Guillory,Oded Fehr",Canada
1022,Raging Bull,1980,Drama,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Robert De Niro,Cathy Moriarty,Joe Pesci",United States of America
1023,Apocalypto,2006,"Action, Drama, History","Set in the Mayan civilization, when a mans idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",Mel Gibson,"Rudy Youngblood,Raoul Max Trujillo,Gerardo Taracena",United Kingdom
1024,Rope,1948,"Thriller, Crime, Drama",Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.,Alfred Hitchcock,"John Dall,Farley Granger,James Stewart",United States of America
1025,The Holiday,2006,"Comedy, Romance","Two women, one from the United States and one from the United Kingdom, swap homes at Christmas time after bad breakups with their boyfriends. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",Nancy Meyers,"Cameron Diaz,Kate Winslet,Jude Law",United States of America
1026,Lammbock,2001,Comedy,Stefan and Kai run a thriving business a home-grown cannabis trade disguised as a pizza delivery service. For now they just have to fight aphids.,Christian Zubert,"Lucas Gregorowicz,Moritz Bleibtreu,Marie Zielcke",Germany
1027,School of Rock,2003,"Comedy, Music","Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock n roll. The schools hard-nosed principal is rightly suspicious of Finns activities. But Finns roommate remains in the dark about what hes doing.",Richard Linklater,"Jack Black,Joan Cusack,Mike White",United States of America
1028,Its a Wonderful Life,1946,"Drama, Family, Fantasy","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is Georges modest building and loan company.  But on Christmas Eve the businesss 8,000 is lost and Georges troubles begin.",Frank Capra,"James Stewart,Donna Reed,Lionel Barrymore",United States of America
1029,Secret Window,2004,"Mystery, Thriller","Mort Rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence, he begins to question his own sanity.",David Koepp,"Johnny Depp,John Turturro,Maria Bello",United States of America
1030,Whats Eating Gilbert Grape,1993,"Romance, Drama","Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she cant leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.",Lasse Hallstrom,"Johnny Depp,Juliette Lewis,Leonardo DiCaprio",United States of America
